Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Espana,Price / Espana,Compare At Price / Espana,Status
33003-1,Aretes Luna,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong> </span>En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,'33068,500.0,shopify,deny,manual,48.00,59.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/3_1.jpg?v=1662854197,1,"",false,,,,kg,,,true,,,draft
33021,Arete Rombo,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong> </span>En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,"",500.0,shopify,continue,manual,28.00,38.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/AGEJ0618.jpg?v=1662854200,1,"",false,,,,kg,,,true,,,archived
23448,Arete Oso,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong> </span>En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,'33003,500.0,shopify,continue,manual,56.00,69.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/3_2.jpg?v=1662854202,1,"",false,,,,kg,,,true,,,archived
dije-salmo,Dije Salmo,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,'23481,500.0,shopify,deny,manual,34.00,55.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/12.jpg?v=1684462470,1,"",false,,,,kg,,,true,,,active
dije-caballo,Dije Caballo,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'20551,500.0,shopify,continue,manual,34.00,55.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/3_8282aef2-4646-4508-b4eb-aeed98b7de2d.jpg?v=1684462472,1,"",false,,,,kg,,,true,,,active
dije-corona,Dije Corona,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>
<p><span style=""color: #ff2a00;""><strong><br></strong></span></p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,'248541,500.0,shopify,continue,manual,34.00,55.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/1_e589315e-5c73-471a-877e-20f95dacb128.jpg?v=1684462475,1,"",false,,,,kg,,,true,,,active
dije-cruz-mediana-circonias,Dije Cruz Mediana Circonias,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>
<p><span style=""color: #ff2a00;""><strong><br></strong></span></p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'23000,500.0,shopify,continue,manual,39.00,49.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/5.jpg?v=1684462480,1,"",false,,,,kg,,,true,,,active
dije-cruz-toreto,Dije Cruz Toreto,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,'23056,500.0,shopify,deny,manual,49.00,65.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/Cruztoreto.jpg?v=1684462484,1,"",false,,,,kg,,,true,,,active
dije-madero-grande,Dije Madero Grande,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>
<p><span style=""color: #ff2a00;""><strong><br></strong></span></p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'23294,500.0,shopify,continue,manual,40.00,65.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/maderogrande.jpg?v=1684462486,1,"",false,,,,kg,,,true,,,active
dije-virgen-piedras,Dije Virgen Piedras,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>
<p><span style=""color: #ff2a00;""><strong><br></strong></span></p>",ISIS JOYERÍA,,"","",true,Color,COLORES,,,,,,,,'23146,500.0,shopify,continue,manual,49.00,65.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/virgenswarocolores.jpg?v=1684462490,1,"",false,,,,kg,,,true,,,active
dije-virgen-piedras,,,,,,,,,CRISTAL,,,,,,,,'23147,500.0,shopify,continue,manual,49.00,65.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/virgeswarcristal.jpg?v=1684462490,2,"",,,,,kg,,,,,,
dije-virgen-piedras,,,,,,,,,VERDE,,,,,,,,'23148,500.0,shopify,continue,manual,49.00,65.00,true,true,,,,,,,,,,,,,kg,,,,,,
dije-cristo-madero,Dije Cristo Madero Mediano,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'23295,500.0,shopify,continue,manual,34.00,54.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/23295.jpg?v=1684462493,1,"",false,,,,kg,,,true,,,active
dije-cruz-san-benito-1,Dije Cruz San Benito,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,'23258,500.0,shopify,deny,manual,49.00,65.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/23258.jpg?v=1684462495,1,"",false,,,,kg,,,true,,,active
cadena-militar-65cm,Cadena Militar Hombre,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE X VIDA</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong> </span>En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,,500.0,shopify,continue,manual,65.00,93.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/files/CADENA_MILITAR_6MM_2.jpg?v=1769832469,1,"",false,,,,kg,,,true,,,active
cadena-militar-65cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/files/MILITAR4MM3.webp?v=1769832469,2,"",,,,,,,,,,,
cadena-militar-65cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/files/CADENA_MILITAR_6MM.jpg?v=1769832469,3,"",,,,,,,,,,,
